Produto,Preço,Marca
Donila DUO Cloridrato De Donepezila 10mg + Cloridrato De Memantina 10mg 7 Comprimidos,"R$35,80",Donila
Donila Duo Cloridrato De Donepezila 10mg + Cloridrato De Memantina 20mg 30 Comprimidos,"R$157,29",Donila
"Celestone Soluspan Acetato De Betametasona 3mg/Ml + Fosfato Dissódico De Betametasona 3,945mg/Ml Solução Injetável 1 Ampola De 1ml","R$32,99",Celestone
Perivasc Diosmina 450mg + Hesperidina 50mg 30 Comprimidos,"R$72,49",Perivasc
Toperma Cloridrato De Lidocaína 5% 10 Adesivos Tópicos,"R$191,99",Toperma
"Nesina Benzoato De Alogliptina 12,5mg 30 Comprimidos","R$129,29",Nesina
Nesina 25mg 30 Comprimidos,"R$145,94",Nesina
"Picoprep Picossulfato De Sódio 10mg + Óxido De Magnésio 3,5g + Ácido Cítrico Anidro 12g Pó Para Solução 2 Sachês","R$50,29",Picoprep
Alphagan Tartarato De Brimonidina 2mg/Ml Solução Oftálmica Estéril 5ml,"R$121,19",Alphagan
Serenata Cloridrato De Sertralina 100mg 30 Comprimidos,"R$162,98",Serenata
Levolukast Montelucaste Sódico 10mg + Dicloridrato De Levocetirizina 5mg 7 Comprimidos,"R$52,38",Levolukast
"Esalerg Desloratadina 1,25mg/Ml Solução Em Gotas 20ml","R$53,78",Esalerg
Suprema Valerato De Estradiol 2mg + Acetato De Noretisterona 1mg 28 Comprimidos,"R$47,79",Suprema
Trileptal Oxcarbazepina 300mg 60 Comprimidos,"R$149,95",Trileptal
Tobracort Tobramicina 3mg/G + Dexametasona 1mg/G Suspensão Oftálmica Estéril 5ml,"R$40,59",Tobracort
Adipept Pantoprazol Sesqui-Hidratado 20mg 28 Comprimidos,"R$56,79",Adipept
Keflex Cefalexina 500mg Suspensão 100ml,"R$257,99",Keflex
Puran T4 Levotiroxina Sódica 125mcg 30 Comprimidos,"R$25,19",Puran T4
Risperdal Risperidona 1mg/Ml Solução Oral 30ml + Pipeta Dosadora 3ml,"R$233,00",Risperdal
"Pressat Besilato De Anlodipino 2,5mg 60 Comprimidos","R$61,39",Pressat
"Xalatan Latanoprosta 50mcg/Ml Solução Oftálmica 2,5ml Geladeira","R$247,11",Xalatan
Imuran Azatioprina 50mg 50 Comprimidos,"R$177,10",Imuran
Cetrolac Trometamol Cetorolaco 5mg/Ml Solução Oftálmica Estéril 5ml,"R$214,99",Cetrolac
Bactrim Sulfametoxazol 200mg + Trimetoprima 40mg Suspensão Oral 100ml,"R$63,99",Bactrim
Monessa Queratina 20mg + Cistina 20mg + Ácido Paraminobenzoico 20mg + Levedura Medicinal 100mg + Tiamina 60mg + Pantotenato De Cálcio 60mg 30 Cápsulas,"R$25,99",Monessa
Benerva Tiamina 300mg 30 Comprimidos,"R$109,00",Benerva
Donila DUO Cloridrato De Donepezila 10mg + Cloridrato De Memantina 15mg 7 Comprimidos,"R$32,59",Donila
"Eliquis Apixabana 2,5mg 20 Comprimidos","R$100,30",Eliquis
Donila DUO Cloridrato De Donepezila 10mg + Cloridrato De Memantina 10mg 7 Comprimidos,"R$35,80",Donila
Donila Duo Cloridrato De Donepezila 10mg + Cloridrato De Memantina 20mg 30 Comprimidos,"R$157,29",Donila
Olmesartana Medoxomila 20mg 30 Comprimidos Torrent Genérico,"R$32,59",Torrent
Esogastro IBP Amoxicilina 500mg + Claritromicina 500mg + Esomeprazol Magnésico 20mg 56 Cápsulas + 28 Comprimidos,"R$307,00",Esogastro
Olmesartana Medoxomila 40mg 30 Comprimidos Torrent Genérico,"R$42,39",Torrent
Niki Com 24 Comprimidos,"R$45,99",Niki
"Nesina Benzoato De Alogliptina 12,5mg 30 Comprimidos","R$129,29",Nesina
Nesina 25mg 30 Comprimidos,"R$145,94",Nesina
Serenata Cloridrato De Sertralina 100mg 30 Comprimidos,"R$162,98",Serenata
"Colchicina 0,5mg 30 Comprimidos Geolab Genérico","R$15,99",Geolab
Neprazol Omeprazol 20mg 56 Cápsulas,"R$12,84",Neprazol
Relvar Ellipta Furoato De Fluticasona 200mcg + Trifenatato De Vilanterol 25mcg Pó Inalante 30 Doses,"R$315,00",Relvar Ellipta
Relvar Ellipta Furoato De Fluticasona 100mcg + Trifenatato De Vilanterol 25mcg Pó Inalante 30 Doses,"R$178,00",Relvar Ellipta
Monessa Queratina 20mg + Cistina 20mg + Ácido Paraminobenzoico 20mg + Levedura Medicinal 100mg + Tiamina 60mg + Pantotenato De Cálcio 60mg 30 Cápsulas,"R$109,00",Monessa
Levolukast Montelucaste Sódico 10mg + Dicloridrato De Levocetirizina 5mg 7 Comprimidos,"R$52,38",Levolukast
Benerva Tiamina 300mg 30 Comprimidos,"R$32,59",Benerva
Adipept Pantoprazol Sesqui-Hidratado 20mg 28 Comprimidos,"R$56,79",Adipept
Keflex Cefalexina 500mg Suspensão 100ml,"R$257,99",Keflex
Pantozol Pantoprazol Sesqui-Hidratado 40mg 28 Comprimidos,"R$414,99",Pantozol
Androgel 50mg Gel Transdérmico 30 Envelopes Com 5g Cada,"R$256,99",Androgel
Tada Tadalafila 5mg 30 Comprimidos,"R$197,99",Tada
Perivasc Diosmina 450mg + Hesperidina 50mg 30 Comprimidos,"R$72,49",Perivasc
Toperma Cloridrato De Lidocaína 5% 10 Adesivos Tópicos,"R$191,99",Toperma
"Vesomni Succinato De Solifenacina 6mg + Cloridrato De Tansulosina 0,4mg 30 Comprimidos","R$173,99",Vesomni
Permear Harpagophytum Procumbens 300mg 30 Comprimidos,"R$222,99",Permear
"Picoprep Picossulfato De Sódio 10mg + Óxido De Magnésio 3,5g + Ácido Cítrico Anidro 12g Pó Para Solução 2 Sachês","R$50,29",Picoprep
Alphagan Tartarato De Brimonidina 2mg/Ml Solução Oftálmica Estéril 5ml,"R$121,19",Alphagan
Atlansil Cloridrato De Amiodarona 200mg 20 Comprimidos,"R$46,99",Atlansil
Eficentus Oxalato De Escitalopram 10mg 30 Comprimidos,"R$79,99",Eficentus
Insulina Apidra Solostar 100UI/Ml Solução Injetável 3ml + Caneta Descartável Geladeira,"R$46,99",Apidra
"Esalerg Desloratadina 1,25mg/Ml Solução Em Gotas 20ml","R$53,78",Esalerg
Suprema Valerato De Estradiol 2mg + Acetato De Noretisterona 1mg 28 Comprimidos,"R$47,79",Suprema
Trileptal Oxcarbazepina 300mg 60 Comprimidos,"R$149,95",Trileptal
Tobracort Tobramicina 3mg/G + Dexametasona 1mg/G Suspensão Oftálmica Estéril 5ml,"R$40,59",Tobracort
Gardenal Fenobarbital 40mg/Ml Solução Oral 20ml,"R$13,69",Gardenal
Gardenal Fenobarbital 50mg 20 Comprimidos,"R$10,16",Gardenal
Janumet Fosfato De Sitagliptina 50mg + Cloridrato De Metformina 1000mg 56 Comprimidos,"R$169,89",Janumet
"Pressat Besilato De Anlodipino 2,5mg 60 Comprimidos","R$61,39",Pressat
"Xalatan Latanoprosta 50mcg/Ml Solução Oftálmica 2,5ml Geladeira","R$247,11",Xalatan
Imuran Azatioprina 50mg 50 Comprimidos,"R$177,10",Imuran
Cetrolac Trometamol Cetorolaco 5mg/Ml Solução Oftálmica Estéril 5ml,"R$214,99",Cetrolac
Bactrim Sulfametoxazol 200mg + Trimetoprima 40mg Suspensão Oral 100ml,"R$63,99",Bactrim
Donila DUO Cloridrato De Donepezila 10mg + Cloridrato De Memantina 15mg 7 Comprimidos,"R$25,99",Donila
Monessa Queratina 20mg + Cistina 20mg + Ácido Paraminobenzoico 20mg + Levedura Medicinal 100mg + Tiamina 60mg + Pantotenato De Cálcio 60mg 30 Cápsulas,"R$109,00",Monessa
Levolukast Montelucaste Sódico 10mg + Dicloridrato De Levocetirizina 5mg 7 Comprimidos,"R$52,38",Levolukast
Benerva Tiamina 300mg 30 Comprimidos,"R$32,59",Benerva
Adipept Pantoprazol Sesqui-Hidratado 20mg 28 Comprimidos,"R$56,79",Adipept
Keflex Cefalexina 500mg Suspensão 100ml,"R$257,99",Keflex
Olmesartana Medoxomila 20mg 30 Comprimidos Torrent Genérico,"R$32,59",Torrent
Esogastro IBP Amoxicilina 500mg + Claritromicina 500mg + Esomeprazol Magnésico 20mg 56 Cápsulas + 28 Comprimidos,"R$307,00",Esogastro
Pantozol Pantoprazol Sesqui-Hidratado 40mg 28 Comprimidos,"R$414,99",Pantozol
Androgel 50mg Gel Transdérmico 30 Envelopes Com 5g Cada,"R$256,99",Androgel
Tada Tadalafila 5mg 30 Comprimidos,"R$197,99",Tada
Olmesartana Medoxomila 40mg 30 Comprimidos Torrent Genérico,"R$42,39",Torrent
Niki Com 24 Comprimidos,"R$45,99",Niki
"Vesomni Succinato De Solifenacina 6mg + Cloridrato De Tansulosina 0,4mg 30 Comprimidos","R$173,99",Vesomni
Permear Harpagophytum Procumbens 300mg 30 Comprimidos,"R$222,99",Permear
"Colchicina 0,5mg 30 Comprimidos Geolab Genérico","R$15,99",Geolab
Neprazol Omeprazol 20mg 56 Cápsulas,"R$12,84",Neprazol
Relvar Ellipta Furoato De Fluticasona 200mcg + Trifenatato De Vilanterol 25mcg Pó Inalante 30 Doses,"R$315,00",Relvar Ellipta
Relvar Ellipta Furoato De Fluticasona 100mcg + Trifenatato De Vilanterol 25mcg Pó Inalante 30 Doses,"R$178,00",Relvar Ellipta
Atlansil Cloridrato De Amiodarona 200mg 20 Comprimidos,"R$46,99",Atlansil
Eficentus Oxalato De Escitalopram 10mg 30 Comprimidos,"R$79,99",Eficentus
Perivasc Diosmina 450mg + Hesperidina 50mg 30 Comprimidos,"R$72,49",Perivasc
Toperma Cloridrato De Lidocaína 5% 10 Adesivos Tópicos,"R$191,99",Toperma
Arlivry Extrato Seco De Hedera Helix 7mg/Ml Xarope Sabor Mel 100ml,"R$13,90",Arlivry
Vertix Dicloridrato De Flunarizina 5mg/Ml Solução Oral 30ml,"R$13,49",Vertix
Cloridrato De Duloxetina 30mg 30 Cápsulas Legrand Genérico,"R$56,79",Legrand
"Picoprep Picossulfato De Sódio 10mg + Óxido De Magnésio 3,5g + Ácido Cítrico Anidro 12g Pó Para Solução 2 Sachês","R$50,29",Picoprep
Alphagan Tartarato De Brimonidina 2mg/Ml Solução Oftálmica Estéril 5ml,"R$121,19",Alphagan
Montelair Montelucaste De Sódio 5mg 30 Comprimidos,"R$78,90",Montelair
Amplictil Clorpromazina 100mg 20 Comprimidos,"R$14,69",Amplictil
Anafranil Cloridrato De Clomipramina 25mg 20 Drágeas,"R$60,39",Anafranil
"Ablok Plus Atenolol 25mg + Clortalidona 12,5mg 60 Comprimidos","R$46,79",Ablok
"Esalerg Desloratadina 1,25mg/Ml Solução Em Gotas 20ml","R$53,78",Esalerg
Suprema Valerato De Estradiol 2mg + Acetato De Noretisterona 1mg 28 Comprimidos,"R$47,79",Suprema
Trileptal Oxcarbazepina 300mg 60 Comprimidos,"R$149,95",Trileptal
Tobracort Tobramicina 3mg/G + Dexametasona 1mg/G Suspensão Oftálmica Estéril 5ml,"R$40,59",Tobracort
"Dexaneurin Cianocobalamina 0,53mg + Piridoxina 100mg + Tiamina 100mg 3 Ampolas","R$41,99",Dexaneurin
Apresolina Hidralazina 50mg 20 Drágeas,"R$12,29",Apresolina
Lasix Furosemida 40mg 20 Comprimidos,"R$23,39",Lasix
Acetonida De Triancinolona Orabase 1mg/G Pomada 10g Eurofarma Genérico,"R$12,99",Eurofarma
Torante Extrato Seco De Hedera Helix 15mg Xarope 200ml,"R$109,49",Torante
Diurix Hidroclorotiazida 25mg 30 Comprimidos,"R$1,65",Diurix
"Xalatan Latanoprosta 50mcg/Ml Solução Oftálmica 2,5ml Geladeira","R$247,11",Xalatan
Imuran Azatioprina 50mg 50 Comprimidos,"R$177,10",Imuran
Cetrolac Trometamol Cetorolaco 5mg/Ml Solução Oftálmica Estéril 5ml,"R$214,99",Cetrolac
Bactrim Sulfametoxazol 200mg + Trimetoprima 40mg Suspensão Oral 100ml,"R$63,99",Bactrim
Vimpat Lacosamida 200mg 28 Comprimidos,"R$25,99",Vimpat
"Atensina Clonidina 0,150mg 30 Comprimidos","R$398,40",Atensina
"Eliquis Apixabana 2,5mg 20 Comprimidos","R$100,30",Eliquis
Atlansil Cloridrato De Amiodarona 200mg 20 Comprimidos,"R$46,99",Atlansil
Eficentus Oxalato De Escitalopram 10mg 30 Comprimidos,"R$79,99",Eficentus
Insulina Apidra Solostar 100UI/Ml Solução Injetável 3ml + Caneta Descartável Geladeira,"R$46,99",Apidra
Olmesartana Medoxomila 20mg 30 Comprimidos Torrent Genérico,"R$32,59",Torrent
Esogastro IBP Amoxicilina 500mg + Claritromicina 500mg + Esomeprazol Magnésico 20mg 56 Cápsulas + 28 Comprimidos,"R$307,00",Esogastro
Arlivry Extrato Seco De Hedera Helix 7mg/Ml Xarope Sabor Mel 100ml,"R$13,90",Arlivry
Vertix Dicloridrato De Flunarizina 5mg/Ml Solução Oral 30ml,"R$13,49",Vertix
Cloridrato De Duloxetina 30mg 30 Cápsulas Legrand Genérico,"R$56,79",Legrand
Olmesartana Medoxomila 40mg 30 Comprimidos Torrent Genérico,"R$42,39",Torrent
Niki Com 24 Comprimidos,"R$45,99",Niki
Vimpat Lacosamida 200mg 28 Comprimidos,"R$398,40",Vimpat
Montelair Montelucaste De Sódio 5mg 30 Comprimidos,"R$78,90",Montelair
"Colchicina 0,5mg 30 Comprimidos Geolab Genérico","R$15,99",Geolab
Neprazol Omeprazol 20mg 56 Cápsulas,"R$12,84",Neprazol
Relvar Ellipta Furoato De Fluticasona 200mcg + Trifenatato De Vilanterol 25mcg Pó Inalante 30 Doses,"R$315,00",Relvar Ellipta
Relvar Ellipta Furoato De Fluticasona 100mcg + Trifenatato De Vilanterol 25mcg Pó Inalante 30 Doses,"R$178,00",Relvar Ellipta
Amplictil Clorpromazina 100mg 20 Comprimidos,"R$14,69",Amplictil
Anafranil Cloridrato De Clomipramina 25mg 20 Drágeas,"R$60,39",Anafranil
"Ablok Plus Atenolol 25mg + Clortalidona 12,5mg 60 Comprimidos","R$46,79",Ablok
"Dexaneurin Cianocobalamina 0,53mg + Piridoxina 100mg + Tiamina 100mg 3 Ampolas","R$41,99",Dexaneurin
Apresolina Hidralazina 50mg 20 Drágeas,"R$12,29",Apresolina
Holmes H Olmesartana Medoxomil 40mg + Hidroclorotiazida 25mg 30 Comprimidos,"R$81,99",Holmes
Restiva Buprenorfina 10mg 2 Adesivos Transdérmicos,"R$166,35",Restiva
Clenil HFA Dipropionato De Beclometasona 200mcg Spray 200 Doses,"R$70,99",Clenil
Fostair DPI Dipropionato De Beclometasona 100mcg + Fumarato De Formoterol 6mcg Pó Inalante 120 Doses,"R$116,07",Fostair Dpi
Perivasc Diosmina 450mg + Hesperidina 50mg 30 Comprimidos,"R$72,49",Perivasc
Toperma Cloridrato De Lidocaína 5% 10 Adesivos Tópicos,"R$191,99",Toperma
"Picoprep Picossulfato De Sódio 10mg + Óxido De Magnésio 3,5g + Ácido Cítrico Anidro 12g Pó Para Solução 2 Sachês","R$50,29",Picoprep
Alphagan Tartarato De Brimonidina 2mg/Ml Solução Oftálmica Estéril 5ml,"R$121,19",Alphagan
"Olmesartana Medoxomila 40mg + Hidroclorotiazida 12,5mg 30 Comprimidos Eurofarma Genérico","R$43,59",Eurofarma
Olmesartana Medoxomila 40mg + Hidroclorotiazida 25mg 30 Comprimidos Eurofarma Genérico,"R$50,79",Eurofarma
Oxalato De Escitalopram 10mg 30 Comprimidos Medley Genérico,"R$52,39",Medley
"Esalerg Desloratadina 1,25mg/Ml Solução Em Gotas 20ml","R$53,78",Esalerg
Suprema Valerato De Estradiol 2mg + Acetato De Noretisterona 1mg 28 Comprimidos,"R$47,79",Suprema
Trileptal Oxcarbazepina 300mg 60 Comprimidos,"R$149,95",Trileptal
Tobracort Tobramicina 3mg/G + Dexametasona 1mg/G Suspensão Oftálmica Estéril 5ml,"R$40,59",Tobracort
Meticorten Prednisona 5mg 20 Comprimidos,"R$25,49",Meticorten
"Libiam Tibolona 2,5mg 28 Comprimidos","R$91,49",Libiam
"Sulfato Glicosamina 1,5g 30 Envelopes Nova Química Genérico","R$108,99",Nova Química
"Xalatan Latanoprosta 50mcg/Ml Solução Oftálmica 2,5ml Geladeira","R$247,11",Xalatan
Imuran Azatioprina 50mg 50 Comprimidos,"R$177,10",Imuran
Cetrolac Trometamol Cetorolaco 5mg/Ml Solução Oftálmica Estéril 5ml,"R$214,99",Cetrolac
Bactrim Sulfametoxazol 200mg + Trimetoprima 40mg Suspensão Oral 100ml,"R$63,99",Bactrim
Vicog Vimpocetina 5mg 30 Comprimidos,"R$25,99",Vicog
"Atensina Clonidina 0,150mg 30 Comprimidos","R$31,79",Atensina
Amplictil Clorpromazina 100mg 20 Comprimidos,"R$14,69",Amplictil
Anafranil Cloridrato De Clomipramina 25mg 20 Drágeas,"R$60,39",Anafranil
"Ablok Plus Atenolol 25mg + Clortalidona 12,5mg 60 Comprimidos","R$46,79",Ablok
"Dexaneurin Cianocobalamina 0,53mg + Piridoxina 100mg + Tiamina 100mg 3 Ampolas","R$41,99",Dexaneurin
Apresolina Hidralazina 50mg 20 Drágeas,"R$12,29",Apresolina
Holmes H Olmesartana Medoxomil 40mg + Hidroclorotiazida 25mg 30 Comprimidos,"R$81,99",Holmes
Restiva Buprenorfina 10mg 2 Adesivos Transdérmicos,"R$166,35",Restiva
Rosucor Rosuvastatina Cálcica 10mg 60 Comprimidos,"R$60,59",Rosucor
Clenil HFA Dipropionato De Beclometasona 200mcg Spray 200 Doses,"R$70,99",Clenil
Fostair DPI Dipropionato De Beclometasona 100mcg + Fumarato De Formoterol 6mcg Pó Inalante 120 Doses,"R$116,07",Fostair Dpi
"Niki Drospirenona 3mg + Etinilestradiol 0,02mg 72 Comprimidos","R$119,03",Niki
"Eliquis Apixabana 2,5mg 20 Comprimidos","R$100,30",Eliquis
"Olmesartana Medoxomila 40mg + Hidroclorotiazida 12,5mg 30 Comprimidos Eurofarma Genérico","R$43,59",Eurofarma
Olmesartana Medoxomila 40mg + Hidroclorotiazida 25mg 30 Comprimidos Eurofarma Genérico,"R$50,79",Eurofarma
Oxalato De Escitalopram 10mg 30 Comprimidos Medley Genérico,"R$52,39",Medley
Esogastro IBP Amoxicilina 500mg + Claritromicina 500mg + Esomeprazol Magnésico 20mg 56 Cápsulas + 28 Comprimidos,"R$307,00",Esogastro
Perivasc Diosmina 450mg + Hesperidina 50mg 60 Comprimidos,"R$129,00",Perivasc
Ateroma Atorvastatina Cálcica 20mg 30 Comprimidos,"R$91,49",Ateroma
Neprazol Omeprazol 20mg 56 Cápsulas,"R$12,84",Neprazol
Niki Com 24 Comprimidos,"R$45,99",Niki
Neblock Cloridrato De Nebivolol 5mg 60 Comprimidos,"R$95,99",Neblock
Cebrilin Cloridrato De Paroxetina 20mg 30 Comprimidos,"R$188,99",Cebrilin
Ateroma Atorvastatina Cálcica 10mg 30 Comprimidos,"R$81,49",Ateroma
"Picoprep Picossulfato De Sódio 10mg + Óxido De Magnésio 3,5g + Ácido Cítrico Anidro 12g Pó Para Solução 2 Sachês","R$50,29",Picoprep
Olmesartana Medoxomila 20mg 30 Comprimidos Torrent Genérico,"R$32,59",Torrent
Olmesartana Medoxomila 40mg 30 Comprimidos Torrent Genérico,"R$42,39",Torrent
Perivasc Diosmina 450mg + Hesperidina 50mg 30 Comprimidos,"R$72,49",Perivasc
Toperma Cloridrato De Lidocaína 5% 10 Adesivos Tópicos,"R$191,99",Toperma
"Esalerg Desloratadina 1,25mg/Ml Solução Em Gotas 20ml","R$53,78",Esalerg
Relvar Ellipta Furoato De Fluticasona 100mcg + Trifenatato De Vilanterol 25mcg Pó Inalante 30 Doses,"R$178,00",Relvar Ellipta
Relvar Ellipta Furoato De Fluticasona 200mcg + Trifenatato De Vilanterol 25mcg Pó Inalante 30 Doses,"R$315,00",Relvar Ellipta
Alphagan Tartarato De Brimonidina 2mg/Ml Solução Oftálmica Estéril 5ml,"R$121,19",Alphagan
Suprema Valerato De Estradiol 2mg + Acetato De Noretisterona 1mg 28 Comprimidos,"R$47,79",Suprema
Trileptal Oxcarbazepina 300mg 60 Comprimidos,"R$149,95",Trileptal
"Vasopril Plus Maleato De Enalapril 20mg + Hidroclorotiazida 12,5mg 30 Comprimidos","R$96,99",Vasopril
"Artemidis 35 Etinilestradiol 0,035mg + Acetato De Ciproterona 2mg 21 Comprimidos Revestidos","R$22,89",Artemidis
Bupium Cloridrato De Bupropiona 150mg 60 Comprimidos,"R$184,99",Bupium
Azitromicina 500mg 3 Comprimidos Sandoz Genérico,"R$23,89",Sandoz
Levolukast Montelucaste Sódico 10mg + Dicloridrato De Levocetirizina 5mg 14 Comprimidos,"R$96,10",Levolukast
Beneum Tiamina 300mg 30 Comprimidos,"R$18,66",Beneum
"Colchicina 0,5mg 30 Comprimidos Geolab Genérico","R$15,99",Geolab
Tobracort Tobramicina 3mg/G + Dexametasona 1mg/G Suspensão Oftálmica Estéril 5ml,"R$40,59",Tobracort
Imuran Azatioprina 50mg 50 Comprimidos,"R$214,99",Imuran
Cetrolac Trometamol Cetorolaco 5mg/Ml Solução Oftálmica Estéril 5ml,"R$63,99",Cetrolac
Bactrim Sulfametoxazol 200mg + Trimetoprima 40mg Suspensão Oral 100ml,"R$25,99",Bactrim
"Xalatan Latanoprosta 50mcg/Ml Solução Oftálmica 2,5ml Geladeira","R$247,11",Xalatan
Aminofilina 100mg Teuto 20 Comprimidos - Genérico,"R$177,10",Teuto
"Dexaneurin Cianocobalamina 0,53mg + Piridoxina 100mg + Tiamina 100mg 3 Ampolas","R$41,99",Dexaneurin
Apresolina Hidralazina 50mg 20 Drágeas,"R$12,29",Apresolina
"Pressat Besilato De Anlodipino 2,5mg 60 Comprimidos","R$61,39",Pressat
"Espasmo Flatol Dimeticona 80mg/Ml + Metilbrometo De Homatropina 2,5mg/Ml Solução Gotas 20ml","R$27,44",Espasmo Flatol
Captopril 25mg 30 Comprimidos EMS Genérico,"R$4,33",Ems
Tobracort Tobramicina 3mg/G + Dexametasona 1mg/G Suspensão Oftálmica Estéril 5ml,"R$40,59",Tobracort
Triazol Fluconazol 150mg 1 Cápsula,"R$38,19",Triazol
Micardis HCT Telmisartana 80mg + Hidroclorotiazida 25mg 30 Comprimidos,"R$156,18",Micardis
Toperma Cloridrato De Lidocaína 5% 10 Adesivos Tópicos,"R$191,99",Toperma
Holmes H Olmesartana Medoxomil 40mg + Hidroclorotiazida 25mg 30 Comprimidos,"R$81,99",Holmes
"Micardis HCT Telmisartana 80mg + Hidroclorotiazida 12,5mg 30 Comprimidos","R$156,18",Micardis
"Holmes H Olmesartana Medoxomil 40mg + Hidroclorotiazida 12,5mg 30 Comprimidos","R$80,99",Holmes
"Xalatan Latanoprosta 50mcg/Ml Solução Oftálmica 2,5ml Geladeira","R$247,11",Xalatan
Azitromicina Di-Hidratada 600mg Suspensão Oral 15ml + 1 Seringa Dosadora Neo Química Genérico,"R$177,10",Neo Química
Amoxicilina 250mg/5ml Suspensão Oral 150ml Neo Química Genérico,"R$61,59",Neo Química
Esogastro IBP Amoxicilina 500mg + Claritromicina 500mg + Esomeprazol Magnésico 20mg 56 Cápsulas + 28 Comprimidos,"R$15,57",Esogastro
Restiva Buprenorfina 10mg 2 Adesivos Transdérmicos,"R$307,00",Restiva
"Holmes H Olmesartana Medoxomil 20mg + Hidroclorotiazida 12,5mg 30 Comprimidos","R$166,35",Holmes
Vimpat Lacosamida 150mg 28 Comprimidos,"R$74,99",Vimpat
"Eliquis Apixabana 2,5mg 20 Comprimidos","R$333,88",Eliquis
Loncord Nifedipino 20mg 20 Cápsulas,"R$100,30",Loncord
Loncord Nifedipino 40mg 20 Cápsulas,"R$22,02",Loncord
Clenil HFA Dipropionato De Beclometasona 200mcg Spray 200 Doses,"R$51,30",Clenil
Cebrilin Cloridrato De Paroxetina 20mg 30 Comprimidos,"R$70,99",Cebrilin
Fostair DPI Dipropionato De Beclometasona 100mcg + Fumarato De Formoterol 6mcg Pó Inalante 120 Doses,"R$188,99",Fostair Dpi
Oxalato De Escitalopram 20mg 30 Comprimidos Medley Genérico,"R$116,07",Medley
Glibenclamida 5mg 30 Comprimidos Neo Química Genérico,"R$33,16",Neo Química
Vimpat Lacosamida 100mg 28 Comprimidos,"R$3,37",Vimpat
Inthos 250mg Polypodium Leucotomos 60 Cápsulas,"R$2,81",Inthos
"Colchicina 0,5mg 30 Comprimidos Geolab Genérico","R$241,11",Geolab
"Brometo De Ipratrópio 0,25mg/Ml Solução Gotas 20ml Neo Química Genérico","R$190,98",Neo Química
Oxalato De Escitalopram 10mg 30 Comprimidos Medley Genérico,"R$15,99",Medley
Olmesartana Medoxomila 40mg + Hidroclorotiazida 25mg 30 Comprimidos Eurofarma Genérico,"R$17,93",Eurofarma
Bactrim Sulfametoxazol 200mg + Trimetoprima 40mg Suspensão Oral 100ml,"R$52,39",Bactrim
Maleato De Enalapril 5mg 30 Comprimidos Neo Química Genérico,"R$50,79",Hypera
Maleato De Enalapril 20mg 30 Comprimidos Neo Química Genérico,"R$25,99",Neo Química
Clopam Clonazepam 2mg 20 Comprimidos,"R$19,39",Clopam
Unoprost Mesilato De Doxazosina 1mg 20 Comprimidos,"R$11,09",Unoprost
Escilex Oxalato De Escitalopram 15mg 30 Comprimidos,"R$46,19",Escilex
Perivasc Diosmina 450mg + Hesperidina 50mg 60 Comprimidos,"R$23,35",Perivasc
"Azitromicina Di-Hidratada 1500mg Suspensão Oral 37,5ml + 1 Seringa Dosadora Eurofarma Genérico","R$67,99",Eurofarma
Antrofi Promestrieno 10mg/G Creme Vaginal 30g + 20 Aplicadores,"R$124,78",Antrofi
Cetrolac Trometamol Cetorolaco 5mg/Ml Solução Oftálmica Estéril 5ml,"R$129,00",Cetrolac
Imuran Azatioprina 50mg 50 Comprimidos,"R$45,43",Imuran
Varicoss Cumarina 15mg + Troxerrutina 90mg 60 Comprimidos,"R$92,49",Varicoss
Senes Cloridrato De Donepezila 5mg 30 Comprimidos,"R$63,99",Senes
Aval Valsartana 160mg 30 Comprimidos,"R$214,99",Aval
Adipept Pantoprazol Sesqui-Hidratado 20mg 28 Comprimidos,"R$56,79",Adipept
Keflex Cefalexina 500mg Suspensão 100ml,"R$257,99",Keflex
Cloridrato De Propafenona 300mg 30 Comprimidos Althaia Genérico,"R$56,99",Althaia
Cloridrato De Metformina 500mg 30 Comprimidos Liberação Prolongada Prati Donaduzzi Genérico,"R$48,44",Prati Donaduzzi
Adipept Pantoprazol Sesqui-Hidratado 40mg 28 Comprimidos,"R$7,31",Adipept
Tadalafila 5mg 30 Comprimidos Eurofarma Genérico,"R$6,09",Eurofarma
Aglucose Acarbose 100mg 30 Comprimidos,"R$57,39",Aglucose
"Paxil CR Cloridrato De Paroxetina 12,5mg 30 Comprimidos","R$25,99",Paxil Cr
Valerimed Valeriana Officinalis 50mg 20 Comprimidos,"R$62,99",Valerimed
Pantozol Pantoprazol Sesqui-Hidratado 40mg 28 Comprimidos,"R$100,69",Pantozol
Anafranil Cloridrato De Clomipramina 25mg 20 Drágeas,"R$15,44",Anafranil
Androgel 50mg Gel Transdérmico 30 Envelopes Com 5g Cada,"R$414,99",Androgel
Bactrim F Sulfametoxazol 800mg + Trimetoprima 160mg 10 Comprimidos,"R$60,39",Bactrim Forte
Tada Tadalafila 5mg 30 Comprimidos,"R$256,99",Tada
Bactrim Sulfametoxazol 400mg + Trimetoprima 80mg 20 Comprimidos,"R$32,19",Bactrim
"Vesomni Succinato De Solifenacina 6mg + Cloridrato De Tansulosina 0,4mg 30 Comprimidos","R$197,99",Vesomni
Ritalina Cloridrato De Metilfenidato 10mg 30 Comprimidos,"R$34,39",Ritalina
Besilato De Anlodipino 10mg 30 Comprimidos Neo Química Genérico,"R$173,99",Neo Química
